"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0040128","umls:C0040128","Thyroid Diseases","7/250","122/17381",0.00193000424869755,0.0296344624002141,0.0227364442287774,"1493/3399/3398/26191/356/6774/1508",7
"umls:C0079774","umls:C0079774","Peripheral T-Cell Lymphoma","7/250","122/17381",0.00193000424869755,0.0296344624002141,0.0227364442287774,"10563/3560/3398/9260/2625/54790/4170",7
"umls:C0238463","umls:C0238463","Papillary thyroid carcinoma","15/250","446/17381",0.00208999754525354,0.0315814564795526,0.0242302362099108,"1435/1390/406947/5740/356/1890/25897/967/6774/808/5573/1499/3939/847/1508",15
"umls:C0023440","umls:C0023440","Acute Erythroblastic Leukemia","9/250","195/17381",0.00209685706274019,0.0315814564795526,0.0242302362099108,"10663/5552/3399/2530/7037/6709/6774/4170/6717",9
"umls:C1802398","umls:C1802398","Chromosome 5, trisomy 5q","4/250","38/17381",0.00210056800603029,0.0315814564795526,0.0242302362099108,"1435/6310/308/54790",4
"umls:C0018133","umls:C0018133","Graft-vs-Host Disease","12/250","317/17381",0.00221032445337992,0.0330024306315002,0.0253204499995173,"1493/939/3458/3805/29851/406947/7412/7133/356/1890/50615/54790",12
"umls:C1847835","umls:C1847835","VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)","8/250","160/17381",0.00223874933522827,0.0331978925395151,0.0254704142104557,"84868/1493/3458/26191/356/3162/25824/847",8
"umls:C3495801","umls:C3495801","Granulomatosis with polyangiitis","5/250","64/17381",0.00226035095559526,0.0332902028494132,0.0255412374359422,"1493/3458/54/26191/7128",5
"umls:C0524910","umls:C0524910","Hepatitis C, Chronic","15/250","451/17381",0.00232507560264146,0.0338356554745178,0.0259597249732778,"1493/3458/3805/8638/356/25897/3162/7037/7867/836/6774/4599/3660/10379/29110",15
"umls:C0376545","umls:C0376545","Hematologic Neoplasms","16/250","497/17381",0.00232864326360422,0.0338356554745178,0.0259597249732778,"3458/3805/952/7133/26191/356/894/970/9260/5781/6774/808/5573/50615/54790/4170",16
"umls:C2745900","umls:C2745900","Promyelocytic leukemia","10/250","238/17381",0.00241014187950117,0.0347699521552726,0.02667654527824,"5552/3458/51676/54/356/5359/7037/836/25824/10379",10
"umls:C0007115","umls:C0007115","Malignant neoplasm of thyroid","15/250","453/17381",0.00242506363761947,0.0347699521552726,0.02667654527824,"1390/3399/2597/25897/894/8611/9260/3984/5315/6774/5573/1499/9446/3939/847",15
"umls:C0024534","umls:C0024534","Malaria, Cerebral","6/250","95/17381",0.00249418670016464,0.0355257513543187,0.0272564169865637,"84868/3458/7412/7133/3162/29110",6
"umls:C0032064","umls:C0032064","Plague","4/250","40/17381",0.00254303615630909,0.035984792669341,0.027608607187174,"26191/5873/9051/4170",4
"umls:C0027708","umls:C0027708","Nephroblastoma","12/250","325/17381",0.00271069734596619,0.0381081802208883,0.0292377335060468,"22822/3458/81/356/3428/894/1495/6774/1499/54790/2130/847",12
"umls:C0024302","umls:C0024302","Reticulosarcoma","4/250","41/17381",0.002786564370906,0.0385342351548452,0.0295646155703638,"3458/54/9260/836",4
"umls:C1832588","umls:C1832588","Chromosome 11p11.2 Deletion Syndrome","3/250","20/17381",0.00279675815493741,0.0385342351548452,0.0295646155703638,"939/3458/970",3
"umls:C0027022","umls:C0027022","Myeloproliferative disease","10/250","243/17381",0.00279994156552363,0.0385342351548452,0.0295646155703638,"3458/406947/3560/7133/9619/5781/7037/6774/54790/282991",10
"umls:C0035412","umls:C0035412","Rhabdomyosarcoma","13/250","370/17381",0.00281219822377161,0.0385342351548452,0.0295646155703638,"3458/3108/26191/5066/25897/3516/894/5781/7037/836/4170/3939/2130",13
"umls:C0011603","umls:C0011603","Dermatitis","8/250","168/17381",0.00302611498866487,0.0412046474871663,0.0316134356313351,"3458/7412/26191/3162/50615/9051/2625/847",8
"umls:C0543697","umls:C0543697","Mixed cryoglobulinemia","4/250","42/17381",0.00304559084348705,0.0412106511009341,0.0316180417830432,"939/3458/10563/406947",4
"umls:C0006845","umls:C0006845","Candidiasis, Chronic Mucocutaneous","3/250","21/17381",0.00322850856093207,0.042361945663139,0.032501349340675,"3458/26191/6774",3
"umls:C0037023","umls:C0037023","Sialadenitis","3/250","21/17381",0.00322850856093207,0.042361945663139,0.032501349340675,"5133/1493/356",3
"umls:C0521857","umls:C0521857","Increased drug resistance","3/250","21/17381",0.00322850856093207,0.042361945663139,0.032501349340675,"9260/4170/6717",3
"umls:C0549493","umls:C0549493","Alveolitis","3/250","21/17381",0.00322850856093207,0.042361945663139,0.032501349340675,"6348/3560/7133",3
"umls:C2697636","umls:C2697636","Hyperdiploid B Acute Lymphoblastic Leukemia","3/250","21/17381",0.00322850856093207,0.042361945663139,0.032501349340675,"84159/5781/6774",3
"umls:C0037284","umls:C0037284","Skin lesion","5/250","70/17381",0.00334707499305638,0.0436531166263076,0.0334919742488457,"9760/3458/406947/50615/4170",5
"umls:C0151526","umls:C0151526","Premature Birth","11/250","292/17381",0.00346095217033856,0.044868032627443,0.0344240940737109,"1493/6348/1435/3458/3560/7133/26191/356/5445/4522/847",11
"umls:C1959635","umls:C1959635","Parvovirus B19 (disease)","4/250","44/17381",0.00361200883406925,0.046547613843809,0.0357127189233162,"3458/5781/836/57819",4
"umls:C0262985","umls:C0262985","Psoriasiform eczema","3/250","22/17381",0.00369891675476398,0.0471067927886119,0.0361417377028951,"5133/3458/2625",3
"umls:C0263680","umls:C0263680","Chronic arthritis","3/250","22/17381",0.00369891675476398,0.0471067927886119,0.0361417377028951,"4929/10563/10725",3
"umls:C0878544","umls:C0878544","Cardiomyopathies","15/250","475/17381",0.00378048987471957,0.0478640969518589,0.0367227640646814,"1493/1846/1757/3458/2597/7453/1509/356/3162/5781/6774/9997/3939/847/6717",15
